path,speaker,text
/root/autodl-tmp/UASpeech/audio/noisereduce/F02/F02_B2_C4_M7.wav,F02,[EN]ENTER[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F02/F02_B2_CW29_M5.wav,F02,[EN]WORD[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F02/F02_B2_CW16_M6.wav,F02,[EN]AS[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F02/F02_B2_UW97_M8.wav,F02,[EN]BATH[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F02/F02_B2_UW79_M7.wav,F02,[EN]DURABLE[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F03/F03_B2_LZ_M7.wav,F03,[EN]ZULU[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F03/F03_B2_CW22_M5.wav,F03,[EN]BE[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F03/F03_B2_C13_M4.wav,F03,[EN]PASTE[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F03/F03_B2_UW4_M2.wav,F03,[EN]PENNYWORTH[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F03/F03_B2_CW63_M2.wav,F03,[EN]MAKE[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F04/F04_B2_UW63_M8.wav,F04,[EN]BULRUSH[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F04/F04_B2_LX_M3.wav,F04,[EN]XRAY[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F04/F04_B2_UW41_M6.wav,F04,[EN]BATTLEFIELD[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F04/F04_B2_CW65_M7.wav,F04,[EN]HIM[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F04/F04_B2_CW75_M2.wav,F04,[EN]NO[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F05/F05_B2_LT_M5.wav,F05,[EN]TANGO[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F05/F05_B2_CW73_M8.wav,F05,[EN]SEE[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F05/F05_B2_CW21_M7.wav,F05,[EN]AT[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F05/F05_B2_UW8_M4.wav,F05,[EN]SHARPSHOOTER[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/F05/F05_B2_C15_M6.wav,F05,[EN]COPY[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/M01/M01_B2_C16_M5.wav,M01,[EN]UPWARD[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/M01/M01_B2_C17_M6.wav,M01,[EN]DOWNWARD[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/M01/M01_B2_C18_M3.wav,M01,[EN]LEFT[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/M01/M01_B2_CW13_M7.wav,M01,[EN]FOR[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/M01/M01_B2_CW24_M6.wav,M01,[EN]HAVE[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/M04/M04_B2_CW72_M3.wav,M04,[EN]GO[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/M04/M04_B2_C1_M8.wav,M04,[EN]COMMAND[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/M04/M04_B2_LK_M5.wav,M04,[EN]KILO[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/M04/M04_B2_UW35_M8.wav,M04,[EN]ATROCIOUS[EN]
/root/autodl-tmp/UASpeech/audio/noisereduce/M04/M04_B2_UW24_M8.wav,M04,[EN]ALOFT[EN]
